tweet_id,tweet_text,image_path,label
370842831700496384,"Operation Walang Iwanan Update from Kuya Luis: Doing door to door delivery at Macabebe, Pampanga. #ReliefPH http://t.co/mANiPM0ue1",image/370842831700496384_0.jpg,Response;Infrastructure and utility damage
542261228316684288,From needing aid to giving it: staff in Palo in #Philippines distribute supplies after #Hagupit @CaritasPhil http://t.co/4ggF9QR7W6,image/542261228316684288_0.jpg,Response
541564323886534656,"Typhone #Hagupit at 5 am was located 260mi SE of Manila, Philippines moving NW w/winds 100mph http://t.co/YZdBuIdDm2 http://t.co/Ce8b87em5o",image/541564323886534656_1.png,Caution and advice
541920013410500609,Watching news at gma news. #rubyPH http://t.co/NjxK7Z5NC5,image/541920013410500609_0.jpg,Not humanitarian
503642391103160320,“@sakacc: “@AlexJamesFitz: This is the most California thing https://t.co/LizqoXwzXi” <awesome!”< might as well post 'quake' chaos #kickass,image/503642391103160320_0.jpg,Infrastructure and utility damage
592088680476508160,In awe. https://t.co/RHlBoQwQps,image/592088680476508160_1.png,Infrastructure and utility damage
378552709298675712,Here's a look inside Milliken courtesy @9NEWS viewer Briana. Stoplight at Hwy 60 and Hwy 257. #coflood http://t.co/ivmHXymmRG,image/378552709298675712_0.jpg,Infrastructure and utility damage
511485823041028096,Current satellite of Odile with 110mph winds per 8am EST NHC update http://t.co/3XoXJlcW3Y,image/511485823041028096_0.jpg,Caution and advice
592945167214186496,Snohomish County firefighter headed to Nepal http://t.co/UH6EGK9n9L http://t.co/A0xLuRcp05,image/592945167214186496_0.jpg,Response
576422336397619201,"RT @NOAASatellites: Visible and IR imagery of Cyclone #Pam taken around 0153 UTC. (March 12, 2015, 9:53 pm EDT) http://t.co/D0PHFfFLLw",image/576422336397619201_1.png,Caution and advice
593645684793876480,"#NepalQuake: Let it be known that India is helping all, says Cabinet Secretary http://t.co/WdJp3eE1xV http://t.co/DLJfzMcEgL",image/593645684793876480_0.jpg,Infrastructure and utility damage
592786388237574145,Fashion designer @prabalgurung is fundraising. #NepalQuake 'Non action is not an option' http://t.co/M0gS8B58ZU http://t.co/vXr9CYjbCq,image/592786388237574145_0.jpg,Needs and offers;Infrastructure and utility damage
379297321558634496,INCREDIBLE IMAGE: A soldier rescues a woman with a walker via helicopter from Longmont Dam Rd. in Lyons. #coflood http://t.co/Ff6jj8KzLo,image/379297321558634496_0.jpg,Response
406574104171798528,&quot;@Janney_h: Helicopter crash into pub over road from our hotel! http://t.co/DqChl9Ukh6&quot; Hopefully not as bad as it looks!,image/406574104171798528_0.jpg,Response;Infrastructure and utility damage
